rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv66,0,      3.0000,   1268.5374,      0.3084,     52.0000,   2829.5484,      0.0220,     43.0000,   3371.0164,      0.0070,     43.0000
health_private_surv67,0,      3.0000,   1001.3801,      0.4009,     52.0000,   2889.5086,      0.0099,     43.0000,   3579.9671,      0.0019,     43.0000
health_private_surv68,0,      3.0000,   1268.9213,      0.2929,     52.0000,   3194.1959,      0.0022,     43.0000,   3835.1736,      0.0003,     43.0000
health_private_surv69,0,      3.0000,   1411.4303,      0.2324,     52.0000,   3608.5300,      0.0005,     43.0000,   4067.6235,      0.0001,     43.0000
health_private_surv70,0,      3.0000,   1443.5514,      0.2352,     52.0000,   3955.0969,      0.0007,     43.0000,   4209.5182,      0.0002,     43.0000
health_private_surv71,0,      3.0000,   1467.2486,      0.2471,     52.0000,   3985.2004,      0.0008,     43.0000,   4056.8873,      0.0003,     43.0000
health_private_surv72,0,      3.0000,   1597.8379,      0.2207,     52.0000,   4046.8796,      0.0004,     43.0000,   4067.7109,      0.0001,     43.0000
health_private_surv73,0,      3.0000,   1777.2671,      0.1742,     52.0000,   3711.6236,      0.0011,     43.0000,   3734.9289,      0.0003,     43.0000
health_private_surv74,0,      3.0000,   1906.5509,      0.1596,     52.0000,   3051.8030,      0.0112,     43.0000,   2919.0947,      0.0067,     43.0000
health_private_surv75,0,      3.0000,   2535.3024,      0.0779,     52.0000,   3791.7742,      0.0030,     43.0000,   3692.9844,      0.0012,     43.0000
health_private_surv76,0,      3.0000,   3255.7695,      0.0387,     52.0000,   4994.4796,      0.0008,     43.0000,   5208.1273,      0.0002,     43.0000
health_private_surv77,0,      3.0000,   3242.0051,      0.0433,     52.0000,   4870.4028,      0.0005,     43.0000,   5155.0702,      0.0001,     43.0000
health_private_surv78,0,      3.0000,   2963.8554,      0.0655,     52.0000,   4477.7278,      0.0009,     43.0000,   4890.6265,      0.0002,     43.0000
health_private_surv79,0,      3.0000,   3849.9854,      0.0434,     52.0000,   6346.6584,      0.0002,     43.0000,   7227.0148,      0.0000,     43.0000
health_private_surv8,0,      3.0000,    -42.7586,      0.6637,     87.0000,    116.0260,      0.1084,     74.0000,    116.0260,      0.1084,     74.0000
health_private_surv9,0,      3.0000,   -893.7816,      0.0555,     87.0000,   -630.3915,      0.2390,     74.0000,   -630.3915,      0.2390,     74.0000
health_private_surv10,1,      0.0000,     33.5373,      0.5673,     97.0000,     -4.0149,      0.9332,     81.0000,     -4.0149,      0.9332,     81.0000
health_private_surv11,1,      0.0000,     70.5354,      0.2622,     97.0000,     10.8291,      0.8229,     81.0000,     10.8291,      0.8229,     81.0000
health_private_surv12,1,      0.0000,   -841.2164,      0.1301,     97.0000,   -916.2977,      0.1884,     81.0000,   -916.2977,      0.1884,     81.0000
health_private_surv13,1,      0.0000,    -46.5837,      0.6785,     97.0000,     88.7973,      0.4022,     81.0000,     88.7973,      0.4022,     81.0000
health_private_surv14,1,      0.0000,    461.1723,      0.5506,     97.0000,    239.6394,      0.7448,     81.0000,    239.6394,      0.7448,     81.0000
health_private_surv15,1,      0.0000,    918.7250,      0.0029,     97.0000,    889.8091,      0.0086,     81.0000,    889.8091,      0.0086,     81.0000
health_private_surv16,1,      0.0000,   1836.3805,      0.1589,     97.0000,    -48.3498,      0.9045,     81.0000,    -48.3498,      0.9045,     81.0000
health_private_surv17,1,      0.0000,   1199.4053,      0.1685,     97.0000,   -411.8323,      0.2713,     81.0000,   -411.8323,      0.2713,     81.0000
health_private_surv18,1,      0.0000,    997.4837,      0.2996,     97.0000,   -643.4180,      0.1328,     81.0000,   -643.4180,      0.1328,     81.0000
health_private_surv19,1,      0.0000,   1650.4192,      0.1772,     97.0000,   -127.9733,      0.7085,     81.0000,   -127.9733,      0.7085,     81.0000
health_private_surv20,1,      0.0000,   1339.0365,      0.0825,     97.0000,      8.8387,      0.9863,     81.0000,      8.8387,      0.9863,     81.0000
health_private_surv21,1,      0.0000,   -372.8427,      0.2763,     97.0000,   -257.4471,      0.3971,     81.0000,   -257.4471,      0.3971,     81.0000
health_private_surv22,1,      0.0000,    502.7060,      0.2129,     97.0000,    440.0607,      0.2859,     81.0000,    440.0607,      0.2859,     81.0000
health_private_surv23,1,      0.0000,     83.8897,      0.7950,     97.0000,    303.0286,      0.3557,     81.0000,    303.0286,      0.3557,     81.0000
health_private_surv24,1,      0.0000,    390.6957,      0.2541,     97.0000,    450.1048,      0.1871,     81.0000,    450.1048,      0.1871,     81.0000
health_private_surv25,1,      0.0000,    111.7720,      0.6961,     97.0000,   -224.7864,      0.2773,     81.0000,   -224.7864,      0.2773,     81.0000
health_private_surv26,1,      0.0000,    543.7433,      0.2093,     97.0000,    282.0440,      0.5278,     81.0000,    282.0440,      0.5278,     81.0000
health_private_surv27,1,      0.0000,    195.3395,      0.4718,     97.0000,     31.0865,      0.9069,     81.0000,     31.0865,      0.9069,     81.0000
health_private_surv28,1,      0.0000,    199.7284,      0.2611,     97.0000,     64.8005,      0.4851,     81.0000,     64.8005,      0.4851,     81.0000
health_private_surv29,1,      0.0000,    329.0259,      0.1369,     97.0000,    204.1801,      0.2657,     81.0000,    204.1801,      0.2657,     81.0000
health_private_surv30,1,      0.0000,  -1089.6652,      0.1440,     29.0000,    279.6377,      0.8619,     22.0000,    904.7511,      0.5279,     22.0000
health_private_surv31,1,      0.0000,    662.6029,      0.2436,     51.0000,    817.3040,      0.3245,     41.0000,   1341.5667,      0.0809,     41.0000
health_private_surv32,1,      0.0000,    604.3467,      0.2400,     61.0000,    588.2172,      0.4204,     51.0000,   1213.2578,      0.0913,     51.0000
health_private_surv33,1,      0.0000,    651.6666,      0.2168,     61.0000,    566.4164,      0.4353,     51.0000,   1181.4212,      0.1009,     51.0000
health_private_surv34,1,      0.0000,    653.6159,      0.2065,     61.0000,    728.9264,      0.3036,     51.0000,   1300.9853,      0.0640,     51.0000
health_private_surv35,1,      0.0000,    752.6473,      0.1459,     61.0000,   1073.9314,      0.1236,     51.0000,   1646.1474,      0.0174,     51.0000
health_private_surv36,1,      0.0000,    800.5060,      0.1201,     61.0000,   1129.6191,      0.1005,     51.0000,   1740.1708,      0.0119,     51.0000
health_private_surv37,1,      0.0000,    718.4586,      0.1556,     61.0000,   1010.2788,      0.1450,     51.0000,   1601.9772,      0.0223,     51.0000
