rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv59,0,      1.0000,   2362.0220,      0.3526,     19.0000,  -1341.7496,      0.0199,     17.0000,  -1322.6543,      0.0117,     17.0000
health_private_surv60,0,      1.0000,   2181.0587,      0.4091,     19.0000,  -1571.0505,      0.0507,     17.0000,  -1593.2732,      0.0508,     17.0000
health_private_surv61,0,      1.0000,   1582.0323,      0.4841,     19.0000,  -1083.7021,      0.4869,     17.0000,  -1217.5049,      0.3855,     17.0000
health_private_surv62,0,      1.0000,   1330.4201,      0.5351,     19.0000,   -391.6351,      0.8351,     17.0000,   -514.1713,      0.7692,     17.0000
health_private_surv63,0,      1.0000,    619.7016,      0.7950,     19.0000,   -203.3323,      0.9321,     17.0000,   -317.6983,      0.8944,     17.0000
health_private_surv64,0,      1.0000,    528.9455,      0.8585,     19.0000,   -349.2231,      0.8972,     17.0000,   -459.0766,      0.8676,     17.0000
health_private_surv65,0,      1.0000,   2922.3159,      0.2227,     19.0000,   1819.3387,      0.4118,     17.0000,   1782.7615,      0.4294,     17.0000
health_private_surv66,0,      1.0000,   4686.0582,      0.0353,     19.0000,   4034.7868,      0.0622,     17.0000,   4003.5485,      0.0668,     17.0000
health_private_surv67,0,      1.0000,   4801.2799,      0.0276,     19.0000,   4333.0360,      0.0297,     17.0000,   4282.0135,      0.0329,     17.0000
health_private_surv68,0,      1.0000,   5164.4357,      0.0157,     19.0000,   4545.0403,      0.0084,     17.0000,   4471.5779,      0.0082,     17.0000
health_private_surv69,0,      1.0000,   4526.4633,      0.0226,     19.0000,   3452.7724,      0.0348,     17.0000,   3353.4231,      0.0316,     17.0000
health_private_surv70,0,      1.0000,   3575.1411,      0.0604,     19.0000,   2518.3737,      0.1383,     17.0000,   2400.8038,      0.1434,     17.0000
health_private_surv71,0,      1.0000,   4992.4541,      0.0122,     19.0000,   4655.6505,      0.0507,     17.0000,   4545.2664,      0.0521,     17.0000
health_private_surv72,0,      1.0000,   6821.7261,      0.0022,     19.0000,   6618.9329,      0.0210,     17.0000,   6531.3513,      0.0215,     17.0000
health_private_surv73,0,      1.0000,   5779.0888,      0.0047,     19.0000,   5102.5634,      0.0263,     17.0000,   4986.0485,      0.0283,     17.0000
health_private_surv74,0,      1.0000,   4793.2100,      0.0215,     19.0000,   4010.4954,      0.0357,     17.0000,   3947.7990,      0.0365,     17.0000
health_private_surv75,0,      1.0000,   5454.8563,      0.0281,     19.0000,   5651.0829,      0.0169,     17.0000,   5686.4371,      0.0144,     17.0000
health_private_surv76,0,      1.0000,   6209.3736,      0.0293,     19.0000,   6873.2395,      0.0043,     17.0000,   6954.9117,      0.0037,     17.0000
health_private_surv77,0,      1.0000,   7011.6993,      0.0148,     19.0000,   6694.5581,      0.0242,     17.0000,   6718.9494,      0.0251,     17.0000
health_private_surv78,0,      1.0000,   7588.0287,      0.0203,     19.0000,   6782.1295,      0.0894,     17.0000,   6758.7311,      0.0931,     17.0000
health_private_surv79,0,      1.0000,   6256.5355,      0.0705,     19.0000,   5189.2695,      0.2365,     17.0000,   5212.3366,      0.2412,     17.0000
health_private_surv8,0,      1.0000,    299.6811,      0.0700,     28.0000,    118.7595,      0.3001,     25.0000,    118.7595,      0.3001,     25.0000
health_private_surv9,0,      1.0000,    247.2411,      0.1987,     28.0000,    101.7155,      0.6118,     25.0000,    101.7155,      0.6118,     25.0000
health_private_surv10,0,      2.0000,     89.1794,      0.5964,     38.0000,     40.5165,      0.7411,     29.0000,     40.5165,      0.7411,     29.0000
health_private_surv11,0,      2.0000,   1174.5114,      0.4382,     38.0000,   4542.8321,      0.0462,     29.0000,   4542.8321,      0.0462,     29.0000
health_private_surv12,0,      2.0000,  -8889.4569,      0.0026,     37.0000, -17024.2555,      0.0001,     28.0000, -17024.2555,      0.0001,     28.0000
health_private_surv13,0,      2.0000,    158.2210,      0.4909,     37.0000,    193.9726,      0.0654,     28.0000,    193.9726,      0.0654,     28.0000
