rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv32,1,      2.0000,    291.4834,      0.5802,     57.0000,    869.5379,      0.1948,     54.0000,   2364.8091,      0.0001,     54.0000
health_private_surv33,1,      2.0000,    140.8506,      0.7819,     57.0000,    599.0213,      0.3684,     54.0000,   2084.5885,      0.0003,     54.0000
health_private_surv34,1,      2.0000,    123.3162,      0.8151,     57.0000,    427.0851,      0.5226,     54.0000,   1856.3851,      0.0012,     54.0000
health_private_surv35,1,      2.0000,    258.4908,      0.6317,     57.0000,    544.5395,      0.4055,     54.0000,   1927.2103,      0.0008,     54.0000
health_private_surv36,1,      2.0000,    270.3385,      0.6117,     57.0000,    587.5882,      0.3656,     54.0000,   1945.9939,      0.0008,     54.0000
health_private_surv37,1,      2.0000,    159.9462,      0.7674,     57.0000,    474.3782,      0.4778,     54.0000,   1867.2506,      0.0016,     54.0000
health_private_surv38,1,      2.0000,    -42.6477,      0.9372,     57.0000,    178.1600,      0.7902,     54.0000,   1607.9095,      0.0051,     54.0000
health_private_surv39,1,      2.0000,   -136.6657,      0.8014,     57.0000,    116.4235,      0.8603,     54.0000,   1590.6872,      0.0056,     54.0000
health_private_surv40,1,      2.0000,    -78.2914,      0.8850,     57.0000,    167.5561,      0.7959,     54.0000,   1584.9765,      0.0051,     54.0000
health_private_surv41,1,      2.0000,    137.6670,      0.8047,     59.0000,    644.9051,      0.3311,     56.0000,   2045.3686,      0.0004,     56.0000
health_private_surv42,1,      2.0000,     36.0634,      0.9487,     59.0000,    795.4830,      0.2406,     56.0000,   2307.1793,      0.0001,     56.0000
health_private_surv43,1,      2.0000,     70.6494,      0.8976,     59.0000,    894.4808,      0.1911,     56.0000,   2431.0714,      0.0001,     56.0000
health_private_surv44,1,      2.0000,    344.8667,      0.5394,     59.0000,   1126.9899,      0.1057,     56.0000,   2648.3440,      0.0000,     56.0000
health_private_surv45,1,      2.0000,    417.2885,      0.4773,     59.0000,    871.5615,      0.2367,     56.0000,   2315.5504,      0.0003,     56.0000
health_private_surv46,1,      2.0000,    284.2465,      0.6527,     59.0000,    548.2006,      0.4972,     56.0000,   1937.7458,      0.0056,     56.0000
health_private_surv47,1,      2.0000,    309.1124,      0.6432,     59.0000,   1010.9738,      0.2232,     56.0000,   2444.6887,      0.0007,     56.0000
health_private_surv48,1,      2.0000,    405.5645,      0.5682,     59.0000,   1483.1884,      0.0805,     56.0000,   2976.2078,      0.0001,     56.0000
health_private_surv49,1,      2.0000,    498.4170,      0.4937,     59.0000,   1508.6977,      0.0754,     56.0000,   3037.4400,      0.0001,     56.0000
health_private_surv50,1,      2.0000,    723.8915,      0.3311,     59.0000,   1567.9005,      0.0714,     56.0000,   3192.6780,      0.0000,     56.0000
health_private_surv51,1,      2.0000,    848.3775,      0.2761,     59.0000,   1556.4613,      0.0876,     56.0000,   3413.8504,      0.0000,     56.0000
health_private_surv52,1,      2.0000,    789.9167,      0.3298,     59.0000,   1386.8125,      0.1382,     56.0000,   3384.7229,      0.0001,     56.0000
health_private_surv53,1,      2.0000,    963.4433,      0.2501,     59.0000,   1517.2989,      0.1162,     56.0000,   3421.5135,      0.0001,     56.0000
health_private_surv54,1,      2.0000,   1355.7244,      0.1252,     59.0000,   1797.8856,      0.0781,     56.0000,   3741.5025,      0.0001,     56.0000
