rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv38,1,      0.0000,   2238.0915,      0.0199,     24.0000,   1347.2903,      0.0320,     18.0000,   1184.4780,      0.1701,     18.0000
health_private_surv39,1,      0.0000,   2102.7393,      0.0166,     25.0000,   1155.2808,      0.0477,     19.0000,    932.8125,      0.2576,     19.0000
health_private_surv40,1,      0.0000,   2160.9133,      0.0131,     25.0000,   1439.4528,      0.0194,     19.0000,   1208.5804,      0.1566,     19.0000
health_private_surv41,1,      0.0000,   2230.4088,      0.0077,     26.0000,   1970.6096,      0.0039,     20.0000,   2193.6401,      0.0175,     20.0000
health_private_surv42,1,      0.0000,   2254.5375,      0.0095,     26.0000,   1929.6885,      0.0039,     20.0000,   2158.0664,      0.0160,     20.0000
health_private_surv43,1,      0.0000,   2266.2720,      0.0096,     26.0000,   1835.6903,      0.0060,     20.0000,   2163.9388,      0.0195,     20.0000
health_private_surv44,1,      0.0000,   2387.1456,      0.0088,     26.0000,   1964.7472,      0.0071,     20.0000,   2354.1894,      0.0227,     20.0000
health_private_surv45,1,      0.0000,   2446.7671,      0.0141,     26.0000,   2069.9612,      0.0165,     20.0000,   2541.2758,      0.0355,     20.0000
health_private_surv46,1,      0.0000,   2213.6142,      0.0353,     26.0000,   1947.1264,      0.0578,     20.0000,   2542.6456,      0.0805,     20.0000
health_private_surv47,1,      0.0000,   2146.9729,      0.0455,     26.0000,   1979.9026,      0.0566,     20.0000,   2513.1567,      0.0877,     20.0000
health_private_surv48,1,      0.0000,   2202.7013,      0.0512,     26.0000,   1613.5159,      0.0961,     20.0000,   2030.6235,      0.1354,     20.0000
health_private_surv49,1,      0.0000,   2303.2649,      0.0597,     26.0000,   1278.5720,      0.2105,     20.0000,   1793.3577,      0.2155,     20.0000
health_private_surv50,1,      0.0000,   2745.6912,      0.0349,     26.0000,   1822.9338,      0.0939,     20.0000,   2534.6258,      0.1014,     20.0000
health_private_surv51,1,      0.0000,   3209.5489,      0.0213,     26.0000,   2511.2151,      0.0183,     20.0000,   3191.3713,      0.0280,     20.0000
health_private_surv52,1,      0.0000,   2976.5764,      0.0465,     26.0000,   2064.3617,      0.0462,     20.0000,   2708.6172,      0.0508,     20.0000
health_private_surv53,1,      0.0000,   2459.3199,      0.1093,     26.0000,   1131.6483,      0.3488,     20.0000,   2030.3109,      0.2203,     20.0000
health_private_surv54,1,      0.0000,   2923.8222,      0.0690,     26.0000,   1607.1502,      0.2333,     20.0000,   2687.9182,      0.1610,     20.0000
health_private_surv55,1,      0.0000,   3694.2838,      0.0356,     26.0000,   2325.5114,      0.0901,     20.0000,   3482.3320,      0.0731,     20.0000
health_private_surv56,1,      0.0000,   3212.9371,      0.0870,     26.0000,   1187.9055,      0.3792,     20.0000,   2487.8743,      0.2062,     20.0000
health_private_surv57,1,      0.0000,   2415.8072,      0.2395,     26.0000,   -228.2524,      0.8918,     20.0000,   1266.7707,      0.5945,     20.0000
health_private_surv58,1,      0.0000,   2551.0402,      0.2401,     26.0000,    -83.3306,      0.9650,     20.0000,   1488.9313,      0.5799,     20.0000
health_private_surv59,1,      0.0000,   2935.1267,      0.1991,     26.0000,    453.9412,      0.8095,     20.0000,   2105.6254,      0.4315,     20.0000
health_private_surv60,1,      0.0000,   3037.2628,      0.2028,     26.0000,   1522.7206,      0.4449,     20.0000,   3352.1517,      0.2326,     20.0000
health_private_surv61,1,      0.0000,   3131.0101,      0.1991,     26.0000,   2289.1529,      0.2758,     20.0000,   4233.9128,      0.1547,     20.0000
health_private_surv62,1,      0.0000,   3033.9692,      0.2326,     26.0000,   1550.1997,      0.4736,     20.0000,   3582.6280,      0.2521,     20.0000
health_private_surv63,1,      0.0000,   2292.6277,      0.3683,     26.0000,    792.0008,      0.7438,     20.0000,   2824.6197,      0.4168,     20.0000
health_private_surv64,1,      0.0000,   2643.1572,      0.3100,     26.0000,   1139.5898,      0.6754,     20.0000,   3018.1907,      0.4291,     20.0000
health_private_surv65,1,      0.0000,   4288.5448,      0.1052,     26.0000,   2742.7715,      0.2387,     20.0000,   3982.7369,      0.2179,     20.0000
health_private_surv66,1,      0.0000,   4636.8271,      0.0746,     26.0000,   4024.4478,      0.0273,     20.0000,   4897.8711,      0.0426,     20.0000
health_private_surv67,1,      0.0000,   4101.1213,      0.1068,     26.0000,   3800.3628,      0.0306,     20.0000,   4969.8235,      0.0370,     20.0000
health_private_surv68,1,      0.0000,   3938.2881,      0.1268,     26.0000,   2697.1846,      0.1223,     20.0000,   4062.5114,      0.1005,     20.0000
health_private_surv69,1,      0.0000,   4087.4610,      0.1178,     26.0000,   1882.2079,      0.2401,     20.0000,   3255.1695,      0.1663,     20.0000
health_private_surv70,1,      0.0000,   5235.3431,      0.0436,     26.0000,   3512.4433,      0.0363,     20.0000,   4812.9647,      0.0409,     20.0000
health_private_surv71,1,      0.0000,   5853.4348,      0.0257,     26.0000,   5304.1928,      0.0194,     20.0000,   6716.7905,      0.0211,     20.0000
health_private_surv72,1,      0.0000,   3840.1535,      0.1385,     26.0000,   2708.7676,      0.2267,     20.0000,   4369.5760,      0.1600,     20.0000
health_private_surv73,1,      0.0000,   2766.5028,      0.3128,     26.0000,    886.7890,      0.6507,     20.0000,   2229.3156,      0.3992,     20.0000
health_private_surv74,1,      0.0000,   5103.4602,      0.0634,     26.0000,   4603.5194,      0.0094,     20.0000,   5431.9802,      0.0187,     20.0000
