rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv19,0,      2.0000,   -923.2338,      0.1706,     34.0000,   -874.2020,      0.1010,     33.0000,   -874.2020,      0.1010,     33.0000
health_private_surv20,0,      2.0000,    -15.2153,      0.9867,     34.0000,     30.6049,      0.9775,     33.0000,     30.6049,      0.9775,     33.0000
health_private_surv21,0,      2.0000,    201.8064,      0.5560,     34.0000,    110.8346,      0.7744,     33.0000,    110.8346,      0.7744,     33.0000
health_private_surv22,0,      2.0000,    280.6995,      0.2891,     34.0000,    298.2966,      0.3644,     33.0000,    298.2966,      0.3644,     33.0000
health_private_surv23,0,      2.0000,    234.5756,      0.3531,     34.0000,    377.5579,      0.1981,     33.0000,    377.5579,      0.1981,     33.0000
health_private_surv24,0,      2.0000,     65.9700,      0.7908,     34.0000,    133.0010,      0.6822,     33.0000,    133.0010,      0.6822,     33.0000
health_private_surv25,0,      2.0000,    -25.6845,      0.9042,     34.0000,    117.7084,      0.6221,     33.0000,    117.7084,      0.6221,     33.0000
health_private_surv26,0,      2.0000,    -54.0462,      0.8102,     34.0000,    136.7595,      0.5883,     33.0000,    136.7595,      0.5883,     33.0000
health_private_surv27,0,      2.0000,   -132.1813,      0.3906,     34.0000,     -4.0624,      0.9824,     33.0000,     -4.0624,      0.9824,     33.0000
health_private_surv28,0,      2.0000,    -56.1983,      0.6182,     34.0000,     93.4311,      0.3948,     33.0000,     93.4311,      0.3948,     33.0000
health_private_surv29,0,      2.0000,     31.1653,      0.8551,     34.0000,    295.9807,      0.0904,     33.0000,    295.9807,      0.0904,     33.0000
health_private_surv30,0,      2.0000,      0.0000,,     11.0000,      0.0000,,     11.0000,      0.0000,,     11.0000
health_private_surv31,0,      2.0000,      0.0000,,     13.0000,      0.0000,,     13.0000,      0.0000,,     13.0000
health_private_surv32,0,      2.0000,   6779.9395,      0.0017,     20.0000,   5693.7055,      0.0485,     20.0000,   5749.6803,      0.0353,     20.0000
health_private_surv33,0,      2.0000,   6021.0303,      0.0043,     20.0000,   4350.9147,      0.1177,     20.0000,   4405.0414,      0.0931,     20.0000
health_private_surv34,0,      2.0000,   5238.5392,      0.0108,     20.0000,   3200.8659,      0.2322,     20.0000,   3251.8733,      0.1969,     20.0000
health_private_surv35,0,      2.0000,   5033.5906,      0.0108,     20.0000,   2730.7738,      0.2592,     20.0000,   2772.6787,      0.2234,     20.0000
health_private_surv36,0,      2.0000,   4839.0943,      0.0115,     20.0000,   2183.7542,      0.3186,     20.0000,   2217.1061,      0.2815,     20.0000
