rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv79,0,      2.0000,   3954.1773,     30.0000
health_private_surv8,0,      2.0000,    -35.8488,     30.0000
health_private_surv9,0,      2.0000,   -801.9373,     30.0000
health_private_surv10,0,      3.0000,     67.4784,     88.0000
health_private_surv11,0,      3.0000,    499.0543,     88.0000
health_private_surv12,0,      3.0000,    196.2814,     84.0000
health_private_surv13,0,      3.0000,    167.7771,     84.0000
health_private_surv14,0,      3.0000,   -126.6360,     84.0000
health_private_surv15,0,      3.0000,   -461.6230,     84.0000
health_private_surv16,0,      3.0000,      5.2485,     84.0000
health_private_surv17,0,      3.0000,   -409.5598,     84.0000
health_private_surv18,0,      3.0000,   -539.2992,     84.0000
health_private_surv19,0,      3.0000,    -91.6746,     84.0000
health_private_surv20,0,      3.0000,   -152.3032,     84.0000
health_private_surv21,0,      3.0000,   -679.2351,     84.0000
health_private_surv22,0,      3.0000,   -670.5228,     84.0000
health_private_surv23,0,      3.0000,   -251.8087,     84.0000
health_private_surv24,0,      3.0000,   -724.7669,     84.0000
health_private_surv25,0,      3.0000,   -799.4207,     84.0000
health_private_surv26,0,      3.0000,   -528.3583,     84.0000
health_private_surv27,0,      3.0000,   -695.1037,     84.0000
health_private_surv28,0,      3.0000,   -771.4091,     84.0000
health_private_surv29,0,      3.0000,   -441.3485,     84.0000
health_private_surv30,0,      3.0000,  -1049.2978,     38.0000
health_private_surv31,0,      3.0000,  -1102.7575,     38.0000
health_private_surv32,0,      3.0000,  -1010.7090,     38.0000
health_private_surv33,0,      3.0000,   -891.9530,     38.0000
health_private_surv34,0,      3.0000,   -773.1971,     38.0000
health_private_surv35,0,      3.0000,   -735.5219,     38.0000
health_private_surv36,0,      3.0000,   -697.8464,     38.0000
health_private_surv37,0,      3.0000,   -628.8658,     38.0000
health_private_surv38,0,      3.0000,   -559.8856,     38.0000
health_private_surv39,0,      3.0000,    -27.0974,     38.0000
health_private_surv40,0,      3.0000,   -134.9416,     38.0000
health_private_surv41,0,      3.0000,    -15.2779,     38.0000
health_private_surv42,0,      3.0000,    116.8751,     38.0000
health_private_surv43,0,      3.0000,     48.1575,     38.0000
health_private_surv44,0,      3.0000,    -20.5600,     38.0000
health_private_surv45,0,      3.0000,    -73.3565,     38.0000
health_private_surv46,0,      3.0000,   -126.1524,     38.0000
health_private_surv47,0,      3.0000,   -330.0897,     38.0000
health_private_surv48,0,      3.0000,   -534.0274,     38.0000
health_private_surv49,0,      3.0000,   -230.8687,     38.0000
health_private_surv50,0,      3.0000,     72.2901,     38.0000
health_private_surv51,0,      3.0000,    256.2446,     38.0000
health_private_surv52,0,      3.0000,    440.1995,     38.0000
health_private_surv53,0,      3.0000,    412.3197,     38.0000
health_private_surv54,0,      3.0000,    384.4398,     38.0000
health_private_surv55,0,      3.0000,    486.0767,     38.0000
health_private_surv56,0,      3.0000,    587.7124,     38.0000
health_private_surv57,0,      3.0000,    355.5304,     38.0000
health_private_surv58,0,      3.0000,    123.3499,     38.0000
health_private_surv59,0,      3.0000,    580.8513,     38.0000
health_private_surv60,0,      3.0000,   1038.3518,     38.0000
health_private_surv61,0,      3.0000,   1131.8327,     38.0000
health_private_surv62,0,      3.0000,   1225.3134,     38.0000
health_private_surv63,0,      3.0000,   1307.7079,     38.0000
health_private_surv64,0,      3.0000,   1390.1042,     38.0000
health_private_surv65,0,      3.0000,    950.8211,     38.0000
health_private_surv66,0,      3.0000,    511.5381,     38.0000
health_private_surv67,0,      3.0000,    611.6163,     38.0000
health_private_surv68,0,      3.0000,    711.6948,     38.0000
health_private_surv69,0,      3.0000,   1070.4842,     38.0000
health_private_surv70,0,      3.0000,   1429.2749,     38.0000
health_private_surv71,0,      3.0000,   1113.2056,     38.0000
health_private_surv72,0,      3.0000,    797.1369,     38.0000
health_private_surv73,0,      3.0000,    604.0856,     38.0000
health_private_surv74,0,      3.0000,    411.0356,     38.0000
health_private_surv75,0,      3.0000,   2242.1217,     38.0000
health_private_surv76,0,      3.0000,   4073.2084,     38.0000
health_private_surv77,0,      3.0000,   2627.6722,     38.0000
health_private_surv78,0,      3.0000,   1182.1348,     38.0000
health_private_surv79,0,      3.0000,   2754.0247,     38.0000
health_private_surv8,0,      3.0000,   -144.3612,     38.0000
health_private_surv9,0,      3.0000,   -978.3757,     38.0000
